Date,Model,ID,Embedding,Use code,Use stats features,Classifier,Dataset,Precision,Recall,F1,Hamming,Notes
2025-10-27 23:59:00,BaselineTagPredictor,BaselineTagPredictor-001,COUNT,False,False,LogisticRegression,val,0.7075,0.389,0.4724,0.0736,
2025-10-28 00:00:00,BaselineTagPredictor,BaselineTagPredictor-002,COUNT,False,False,RandomForestClassifier,val,0.0911,1.0,0.1563,0.9089,
2025-10-28 00:00:00,BaselineTagPredictor,BaselineTagPredictor-003,COUNT,False,False,XGBClassifier,val,0.6694,0.4496,0.5286,0.0701,
2025-10-28 00:00:00,BaselineTagPredictor,BaselineTagPredictor-004,COUNT,False,False,MultinomialNB,val,0.4835,0.5497,0.5138,0.0812,
2025-10-28 00:00:00,BaselineTagPredictor,BaselineTagPredictor-005,COUNT,False,False,MLPClassifier,val,0.5346,0.3618,0.4257,0.0777,
2025-10-28 00:01:00,BaselineTagPredictor,BaselineTagPredictor-006,TFIDF,False,False,LogisticRegression,val,0.6142,0.2597,0.3434,0.0703,
2025-10-28 00:01:00,BaselineTagPredictor,BaselineTagPredictor-007,TFIDF,False,False,RandomForestClassifier,val,0.0911,1.0,0.1563,0.9089,
2025-10-28 00:01:00,BaselineTagPredictor,BaselineTagPredictor-008,TFIDF,False,False,XGBClassifier,val,0.5617,0.458,0.4921,0.085,
2025-10-28 00:01:00,BaselineTagPredictor,BaselineTagPredictor-009,TFIDF,False,False,MultinomialNB,val,0.225,0.0087,0.0167,0.0898,
2025-10-28 00:02:00,BaselineTagPredictor,BaselineTagPredictor-010,TFIDF,False,False,MLPClassifier,val,0.5541,0.3043,0.3836,0.0749,
2025-10-28 00:03:00,BaselineTagPredictor,BaselineTagPredictor-011,COUNT,True,False,LogisticRegression,val,0.5354,0.3543,0.4221,0.0721,
2025-10-28 00:04:00,BaselineTagPredictor,BaselineTagPredictor-012,COUNT,True,False,RandomForestClassifier,val,0.0911,1.0,0.1563,0.9089,
2025-10-28 00:04:00,BaselineTagPredictor,BaselineTagPredictor-013,COUNT,True,False,XGBClassifier,val,0.6826,0.4774,0.5508,0.0668,
2025-10-28 00:04:00,BaselineTagPredictor,BaselineTagPredictor-014,COUNT,True,False,MultinomialNB,val,0.4149,0.5604,0.4652,0.0916,
2025-10-28 00:04:00,BaselineTagPredictor,BaselineTagPredictor-015,COUNT,True,False,MLPClassifier,val,0.5291,0.3266,0.3981,0.0719,
2025-10-28 00:05:00,BaselineTagPredictor,BaselineTagPredictor-016,TFIDF,True,False,LogisticRegression,val,0.6492,0.243,0.3322,0.0665,
2025-10-28 00:05:00,BaselineTagPredictor,BaselineTagPredictor-017,TFIDF,True,False,RandomForestClassifier,val,0.0911,1.0,0.1563,0.9089,
2025-10-28 00:05:00,BaselineTagPredictor,BaselineTagPredictor-018,TFIDF,True,False,XGBClassifier,val,0.6593,0.483,0.5484,0.0703,
2025-10-28 00:05:00,BaselineTagPredictor,BaselineTagPredictor-019,TFIDF,True,False,MultinomialNB,val,0.0625,0.0008,0.0017,0.0924,
2025-10-28 00:05:00,BaselineTagPredictor,BaselineTagPredictor-020,TFIDF,True,False,MLPClassifier,val,0.5671,0.2789,0.3649,0.0731,
2025-10-28 00:35:00,TunedBaselineTagPredictor,TunedBaselineTagPredictor-001,COUNT,True,False,TunedXGBClassifier,test,0.7433,0.4882,0.5831,0.0664,
2025-10-28 00:36:00,TunedBaselineTagPredictor,TunedBaselineTagPredictor-002,TFIDF,True,False,TunedXGBClassifier,test,0.7361,0.4313,0.5318,0.0706,
