Model,ID,Notes,Tag,Precision,Recall,F1,Support,Predicted
BaselineTagPredictor,BaselineTagPredictor-001,,math,0.563,0.4497,0.5,149,119
BaselineTagPredictor,BaselineTagPredictor-001,,graphs,0.5714,0.4444,0.5,54,42
BaselineTagPredictor,BaselineTagPredictor-001,,strings,0.7188,0.4894,0.5823,47,32
BaselineTagPredictor,BaselineTagPredictor-001,,number theory,0.9167,0.25,0.3929,44,12
BaselineTagPredictor,BaselineTagPredictor-001,,trees,0.8571,0.5854,0.6957,41,28
BaselineTagPredictor,BaselineTagPredictor-001,,geometry,0.3333,0.1667,0.2222,6,3
BaselineTagPredictor,BaselineTagPredictor-001,,games,0.7,0.5833,0.6364,12,10
BaselineTagPredictor,BaselineTagPredictor-001,,probabilities,1.0,0.1429,0.25,7,1
BaselineTagPredictor,BaselineTagPredictor-002,,math,0.3016,1.0,0.4635,149,494
BaselineTagPredictor,BaselineTagPredictor-002,,graphs,0.1093,1.0,0.1971,54,494
BaselineTagPredictor,BaselineTagPredictor-002,,strings,0.0951,1.0,0.1738,47,494
BaselineTagPredictor,BaselineTagPredictor-002,,number theory,0.0891,1.0,0.1636,44,494
BaselineTagPredictor,BaselineTagPredictor-002,,trees,0.083,1.0,0.1533,41,494
BaselineTagPredictor,BaselineTagPredictor-002,,geometry,0.0121,1.0,0.024,6,494
BaselineTagPredictor,BaselineTagPredictor-002,,games,0.0243,1.0,0.0474,12,494
BaselineTagPredictor,BaselineTagPredictor-002,,probabilities,0.0142,1.0,0.0279,7,494
BaselineTagPredictor,BaselineTagPredictor-003,,math,0.6528,0.3154,0.4253,149,72
BaselineTagPredictor,BaselineTagPredictor-003,,graphs,0.6452,0.3704,0.4706,54,31
BaselineTagPredictor,BaselineTagPredictor-003,,strings,0.6667,0.5532,0.6047,47,39
BaselineTagPredictor,BaselineTagPredictor-003,,number theory,0.7647,0.2955,0.4262,44,17
BaselineTagPredictor,BaselineTagPredictor-003,,trees,0.8667,0.6341,0.7324,41,30
BaselineTagPredictor,BaselineTagPredictor-003,,geometry,0.25,0.1667,0.2,6,4
BaselineTagPredictor,BaselineTagPredictor-003,,games,0.9091,0.8333,0.8696,12,11
BaselineTagPredictor,BaselineTagPredictor-003,,probabilities,0.6,0.4286,0.5,7,5
BaselineTagPredictor,BaselineTagPredictor-004,,math,0.5294,0.604,0.5643,149,170
BaselineTagPredictor,BaselineTagPredictor-004,,graphs,0.55,0.6111,0.5789,54,60
BaselineTagPredictor,BaselineTagPredictor-004,,strings,0.5932,0.7447,0.6604,47,59
